Номер_сессии,Сессия,Испытуемый,Видео,Формат_экрана,MOS,Таймкод,Разрешение,Масштаб_%,Битрейт_кбит,FPS,Дата_время,Статус
1,20260603 122623,2,1,1080,2,02:22,214×112,5.2,11782,60/1,2026-06-03 12:46:39,OK
1,20260603 122623,2,2,1080,5,00:01,4096×2160,100.0,11447,60/1,2026-06-03 12:49:20,OK
1,20260603 122623,2,2,1080,4,01:06,1040×548,25.4,26503,60/1,2026-06-03 12:49:20,OK
1,20260603 122623,2,2,1080,3,02:01,326×172,8.0,8000,60/1,2026-06-03 12:49:20,OK
1,20260603 122623,2,2,1080,2,02:21,214×112,5.2,19423,60/1,2026-06-03 12:49:20,OK
1,20260603 122623,2,3,1080,5,00:05,3686×1944,90.0,19788,60/1,2026-06-03 12:51:58,OK
1,20260603 122623,2,3,1080,4,01:06,1040×548,25.4,11430,60/1,2026-06-03 12:51:58,OK
1,20260603 122623,2,3,1080,3,01:41,496×262,12.2,9763,60/1,2026-06-03 12:51:58,OK
1,20260603 122623,2,3,1080,2,02:02,326×172,8.0,21322,60/1,2026-06-03 12:51:58,OK
1,20260603 122623,2,4,1080,5,00:01,4096×2160,100.0,12627,60/1,2026-06-03 12:54:34,OK
1,20260603 122623,2,4,1080,4,00:45,1586×836,38.7,11552,60/1,2026-06-03 12:54:34,OK
1,20260603 122623,2,4,1080,3,01:36,552×290,13.5,9535,60/1,2026-06-03 12:54:34,OK
1,20260603 122623,2,4,1080,2,02:01,326×172,8.0,10546,60/1,2026-06-03 12:54:34,OK
1,20260603 122623,2,1,4K,5,00:08,3686×1944,90.0,30431,60/1,2026-06-03 12:35:12,OK
1,20260603 122623,2,1,4K,4,01:07,1040×548,25.4,9801,60/1,2026-06-03 12:35:12,OK
1,20260603 122623,2,1,4K,3,01:41,496×262,12.2,17235,60/1,2026-06-03 12:35:12,OK
1,20260603 122623,2,1,4K,2,02:04,326×172,8.0,19666,60/1,2026-06-03 12:35:12,OK
1,20260603 122623,2,2,4K,5,00:01,4096×2160,100.0,11447,60/1,2026-06-03 12:37:58,OK
1,20260603 122623,2,2,4K,4,01:08,1040×548,25.4,26503,60/1,2026-06-03 12:37:58,OK
1,20260603 122623,2,2,4K,3,01:53,402×212,9.8,9166,60/1,2026-06-03 12:37:58,OK
1,20260603 122623,2,2,4K,2,02:09,294×154,7.2,11643,60/1,2026-06-03 12:37:58,OK
1,20260603 122623,2,3,4K,5,00:01,4096×2160,100.0,16232,60/1,2026-06-03 12:40:45,OK
1,20260603 122623,2,3,4K,4,01:21,758×400,18.5,18989,60/1,2026-06-03 12:40:45,OK
1,20260603 122623,2,3,4K,3,02:01,326×172,8.0,21322,60/1,2026-06-03 12:40:45,OK
1,20260603 122623,2,3,4K,2,02:21,214×112,5.2,10297,60/1,2026-06-03 12:40:45,OK
1,20260603 122623,2,4,4K,5,00:08,3686×1944,90.0,11285,60/1,2026-06-03 12:43:31,OK
1,20260603 122623,2,4,4K,4,01:21,758×400,18.5,13543,60/1,2026-06-03 12:43:31,OK
1,20260603 122623,2,4,4K,3,01:42,496×262,12.2,17190,60/1,2026-06-03 12:43:31,OK
1,20260603 122623,2,4,4K,2,02:01,326×172,8.0,10546,60/1,2026-06-03 12:43:31,OK
1,20260603 122623,2,1,720,5,00:02,4096×2160,100.0,23413,60/1,2026-06-03 12:57:26,OK
1,20260603 122623,2,1,720,4,00:46,1586×836,38.7,10961,60/1,2026-06-03 12:57:26,OK
1,20260603 122623,2,1,720,3,01:05,1040×548,25.4,9801,60/1,2026-06-03 12:57:26,OK
1,20260603 122623,2,1,720,2,01:46,448×236,10.9,20553,60/1,2026-06-03 12:57:26,OK
1,20260603 122623,2,2,720,5,00:01,4096×2160,100.0,11447,60/1,2026-06-03 13:00:26,OK
1,20260603 122623,2,2,720,4,01:01,1156×610,28.2,20695,60/1,2026-06-03 13:00:26,OK
1,20260603 122623,2,2,720,3,01:42,496×262,12.2,10850,60/1,2026-06-03 13:00:26,OK
1,20260603 122623,2,2,720,2,01:43,496×262,12.2,10850,60/1,2026-06-03 13:00:26,OK
1,20260603 122623,2,3,720,5,00:03,4096×2160,100.0,16232,60/1,2026-06-03 13:03:24,OK
1,20260603 122623,2,3,720,4,01:02,1156×610,28.2,8753,60/1,2026-06-03 13:03:24,OK
1,20260603 122623,2,3,720,3,01:42,496×262,12.2,9763,60/1,2026-06-03 13:03:24,OK
1,20260603 122623,2,3,720,2,02:23,214×112,5.2,10297,60/1,2026-06-03 13:03:24,OK
1,20260603 122623,2,4,720,5,00:02,4096×2160,100.0,12627,60/1,2026-06-03 13:06:05,OK
1,20260603 122623,2,4,720,4,00:51,1428×752,34.9,11935,60/1,2026-06-03 13:06:05,OK
1,20260603 122623,2,4,720,3,01:35,552×290,13.5,9535,60/1,2026-06-03 13:06:05,OK
1,20260603 122623,2,4,720,2,02:01,326×172,8.0,10546,60/1,2026-06-03 13:06:05,OK
1,20260603 122623,3,1,1080,5,00:02,4096×2160,100.0,23413,60/1,2026-06-03 12:46:39,OK
1,20260603 122623,3,1,1080,4,01:10,936×494,22.9,8467,60/1,2026-06-03 12:46:39,OK
1,20260603 122623,3,1,1080,3,02:06,294×154,7.2,22412,60/1,2026-06-03 12:46:39,OK
1,20260603 122623,3,1,1080,2,02:22,214×112,5.2,11782,60/1,2026-06-03 12:46:39,OK
1,20260603 122623,3,2,1080,5,00:02,4096×2160,100.0,11447,60/1,2026-06-03 12:49:20,OK
1,20260603 122623,3,2,1080,4,01:31,614×324,15.0,23090,60/1,2026-06-03 12:49:20,OK
1,20260603 122623,3,2,1080,3,01:42,496×262,12.2,10850,60/1,2026-06-03 12:49:20,OK
1,20260603 122623,3,2,1080,2,02:07,294×154,7.2,11643,60/1,2026-06-03 12:49:20,OK
1,20260603 122623,3,3,1080,5,00:00,4096×2160,100.0,16232,60/1,2026-06-03 12:51:58,OK
1,20260603 122623,3,3,1080,4,01:22,758×400,18.5,18989,60/1,2026-06-03 12:51:58,OK
1,20260603 122623,3,3,1080,3,01:22,758×400,18.5,18989,60/1,2026-06-03 12:51:58,OK
1,20260603 122623,3,3,1080,2,02:21,214×112,5.2,10297,60/1,2026-06-03 12:51:58,OK
1,20260603 122623,3,4,1080,5,00:03,4096×2160,100.0,12627,60/1,2026-06-03 12:54:34,OK
1,20260603 122623,3,4,1080,4,01:32,614×324,15.0,14254,60/1,2026-06-03 12:54:34,OK
1,20260603 122623,3,4,1080,3,01:42,496×262,12.2,17190,60/1,2026-06-03 12:54:34,OK
1,20260603 122623,3,4,1080,2,02:03,326×172,8.0,10546,60/1,2026-06-03 12:54:34,OK
1,20260603 122623,3,1,4K,5,00:03,4096×2160,100.0,23413,60/1,2026-06-03 12:35:12,OK
1,20260603 122623,3,1,4K,4,01:40,496×262,12.2,17235,60/1,2026-06-03 12:35:12,OK
1,20260603 122623,3,1,4K,3,02:14,264×138,6.5,26487,60/1,2026-06-03 12:35:12,OK
1,20260603 122623,3,1,4K,2,02:25,192×100,4.7,11247,60/1,2026-06-03 12:35:12,OK
1,20260603 122623,3,2,4K,5,00:07,3686×1944,90.0,11912,60/1,2026-06-03 12:37:58,OK
1,20260603 122623,3,2,4K,4,01:30,614×324,15.0,23090,60/1,2026-06-03 12:37:58,OK
1,20260603 122623,3,2,4K,3,02:02,326×172,8.0,8000,60/1,2026-06-03 12:37:58,OK
1,20260603 122623,3,2,4K,2,02:13,264×138,6.5,11925,60/1,2026-06-03 12:37:58,OK
1,20260603 122623,3,3,4K,5,00:01,4096×2160,100.0,16232,60/1,2026-06-03 12:40:45,OK
1,20260603 122623,3,3,4K,4,01:22,758×400,18.5,18989,60/1,2026-06-03 12:40:45,OK
1,20260603 122623,3,3,4K,3,02:02,326×172,8.0,21322,60/1,2026-06-03 12:40:45,OK
1,20260603 122623,3,3,4K,2,02:23,214×112,5.2,10297,60/1,2026-06-03 12:40:45,OK
1,20260603 122623,3,4,4K,5,00:02,4096×2160,100.0,12627,60/1,2026-06-03 12:43:31,OK
1,20260603 122623,3,4,4K,4,01:24,758×400,18.5,13543,60/1,2026-06-03 12:43:31,OK
1,20260603 122623,3,4,4K,3,01:42,496×262,12.2,17190,60/1,2026-06-03 12:43:31,OK
1,20260603 122623,3,4,4K,2,02:03,326×172,8.0,10546,60/1,2026-06-03 12:43:31,OK
1,20260603 122623,3,1,720,5,00:03,4096×2160,100.0,23413,60/1,2026-06-03 12:57:26,OK
1,20260603 122623,3,1,720,4,01:08,1040×548,25.4,9801,60/1,2026-06-03 12:57:26,OK
1,20260603 122623,3,1,720,3,01:42,496×262,12.2,17235,60/1,2026-06-03 12:57:26,OK
1,20260603 122623,3,1,720,2,02:08,294×154,7.2,22412,60/1,2026-06-03 12:57:26,OK
1,20260603 122623,3,2,720,5,00:03,4096×2160,100.0,11447,60/1,2026-06-03 13:00:26,OK
1,20260603 122623,3,2,720,4,01:42,496×262,12.2,10850,60/1,2026-06-03 13:00:26,OK
1,20260603 122623,3,2,720,3,02:15,238×124,5.8,8493,60/1,2026-06-03 13:00:26,OK
1,20260603 122623,3,2,720,2,02:23,214×112,5.2,19423,60/1,2026-06-03 13:00:26,OK
1,20260603 122623,3,3,720,5,00:01,4096×2160,100.0,16232,60/1,2026-06-03 13:03:24,OK
1,20260603 122623,3,3,720,4,01:21,758×400,18.5,18989,60/1,2026-06-03 13:03:24,OK
1,20260603 122623,3,3,720,3,01:53,402×212,9.8,13771,60/1,2026-06-03 13:03:24,OK
1,20260603 122623,3,3,720,2,02:03,326×172,8.0,21322,60/1,2026-06-03 13:03:24,OK
1,20260603 122623,3,4,720,5,00:01,4096×2160,100.0,12627,60/1,2026-06-03 13:06:05,OK
1,20260603 122623,3,4,720,4,01:35,552×290,13.5,9535,60/1,2026-06-03 13:06:05,OK
1,20260603 122623,3,4,720,3,01:42,496×262,12.2,17190,60/1,2026-06-03 13:06:05,OK
1,20260603 122623,3,4,720,2,02:22,214×112,5.2,15853,60/1,2026-06-03 13:06:05,OK
1,20260603 122623,4,1,1080,5,00:02,4096×2160,100.0,23413,60/1,2026-06-03 12:46:39,OK
1,20260603 122623,4,1,1080,4,00:44,1762×928,43.0,9951,60/1,2026-06-03 12:46:39,OK
1,20260603 122623,4,1,1080,3,01:54,402×212,9.8,25400,60/1,2026-06-03 12:46:39,OK
1,20260603 122623,4,1,1080,2,02:21,214×112,5.2,11782,60/1,2026-06-03 12:46:39,OK
1,20260603 122623,4,2,1080,5,00:01,4096×2160,100.0,11447,60/1,2026-06-03 12:49:20,OK
1,20260603 122623,4,2,1080,4,01:25,682×360,16.7,19254,60/1,2026-06-03 12:49:20,OK
1,20260603 122623,4,2,1080,3,02:02,326×172,8.0,8000,60/1,2026-06-03 12:49:20,OK
1,20260603 122623,4,2,1080,2,02:15,238×124,5.8,8493,60/1,2026-06-03 12:49:20,OK
1,20260603 122623,4,3,1080,5,00:01,4096×2160,100.0,16232,60/1,2026-06-03 12:51:58,OK
1,20260603 122623,4,3,1080,4,01:23,758×400,18.5,18989,60/1,2026-06-03 12:51:58,OK
1,20260603 122623,4,3,1080,3,02:01,326×172,8.0,21322,60/1,2026-06-03 12:51:58,OK
1,20260603 122623,4,3,1080,2,02:19,238×124,5.8,23229,60/1,2026-06-03 12:51:58,OK
1,20260603 122623,4,4,1080,5,00:12,3316×1748,81.0,9284,60/1,2026-06-03 12:54:34,OK
1,20260603 122623,4,4,1080,4,01:23,758×400,18.5,13543,60/1,2026-06-03 12:54:34,OK
1,20260603 122623,4,4,1080,3,01:55,362×190,8.9,15040,60/1,2026-06-03 12:54:34,OK
1,20260603 122623,4,4,1080,2,02:30,—,,—,—,2026-06-03 12:54:34,OK
1,20260603 122623,4,1,4K,5,00:00,4096×2160,100.0,23413,60/1,2026-06-03 12:35:12,OK
1,20260603 122623,4,1,4K,4,00:42,1762×928,43.0,9951,60/1,2026-06-03 12:35:12,OK
1,20260603 122623,4,1,4K,3,01:22,758×400,18.5,21269,60/1,2026-06-03 12:35:12,OK
1,20260603 122623,4,1,4K,2,02:22,214×112,5.2,11782,60/1,2026-06-03 12:35:12,OK
1,20260603 122623,4,2,4K,5,00:03,4096×2160,100.0,11447,60/1,2026-06-03 12:37:58,OK
1,20260603 122623,4,2,4K,4,01:04,1156×610,28.2,20695,60/1,2026-06-03 12:37:58,OK
1,20260603 122623,4,2,4K,3,01:46,448×236,10.9,9556,60/1,2026-06-03 12:37:58,OK
